date,country,D,H,I,M,S
2021-08-03,Afghanistan,0,0,0,40,0
2021-08-03,Sweden,4,0,0,6,0
2021-08-03,Japan,14,0,0,110,0
2021-08-04,Afghanistan,0,5,0,35,0
2021-08-04,Sweden,4,0,0,6,0
2021-08-04,Japan,14,22,0,88,0
2021-08-05,Afghanistan,0,6,2,32,0
2021-08-05,Sweden,4,0,0,6,0
2021-08-05,Japan,14,28,3,79,0
2021-08-06,Afghanistan,0,8,3,29,0
2021-08-06,Sweden,4,2,0,4,0
2021-08-06,Japan,14,25,10,75,0
2021-08-07,Afghanistan,0,6,6,28,0
2021-08-07,Sweden,4,2,0,4,0
2021-08-07,Japan,14,25,15,70,0
2021-08-08,Afghanistan,0,5,8,27,0
2021-08-08,Sweden,4,2,0,4,0
2021-08-08,Japan,14,28,19,63,0
2021-08-09,Afghanistan,0,5,6,28,1
2021-08-09,Sweden,4,1,1,4,0
2021-08-09,Japan,14,26,19,63,2
2021-08-10,Afghanistan,0,5,7,26,2
2021-08-10,Sweden,4,1,1,4,0
2021-08-10,Japan,14,23,20,60,7
2021-08-11,Afghanistan,0,5,5,26,4
2021-08-11,Sweden,4,1,1,4,0
2021-08-11,Japan,14,16,23,61,10
2021-08-12,Afghanistan,0,4,4,26,6
2021-08-12,Sweden,4,1,1,4,0
2021-08-12,Japan,14,10,25,63,12
2021-08-13,Afghanistan,0,3,5,26,6
2021-08-13,Sweden,4,1,0,4,1
2021-08-13,Japan,14,9,23,63,15
2021-08-14,Afghanistan,0,2,4,28,6
2021-08-14,Sweden,4,1,0,4,1
2021-08-14,Japan,14,7,17,68,18
2021-08-15,Afghanistan,0,2,3,29,6
2021-08-15,Sweden,4,1,0,4,1
2021-08-15,Japan,14,6,10,71,23
2021-08-16,Afghanistan,0,2,2,29,7
2021-08-16,Sweden,4,1,0,4,1
2021-08-16,Japan,14,6,4,73,27
2021-08-17,Afghanistan,0,4,1,28,7
2021-08-17,Sweden,4,1,0,4,1
2021-08-17,Japan,14,5,4,74,27
2021-08-18,Afghanistan,0,9,1,23,7
2021-08-18,Sweden,4,1,0,4,1
